Wavelength(gantner);RoundedWavelength;Wavelength(std);Wavelength(Matching)
898,78;899;;898
899,58;899,5;;898
899,98;900;;898
900,38;900,5;;900
900,77;901;;900
901,57;901,5;;901
901,97;902;;901
902,37;902,5;;902
902,76;903;;902
903,56;903,5;;903
903,96;904;;903
904,35;904,5;;904
904,75;905;;904
905,55;905,5;;904
905,94;906;;904
906,34;906,5;;906
907,14;907;;906
907,53;907,5;;907
907,93;908;;907
908,33;908,5;;908
909,12;909;;908
909,52;909,5;;909
909,92;910;;909
910,31;910,5;;910
911,11;911;;910
911,51;911,5;;910
911,9;912;;910
912,3;912,5;;912
913,09;913;;912
913,49;913,5;;913
913,89;914;;913
914,28;914,5;;914
915,08;915;;914
915,47;915,5;;915
915,87;916;;915
916,27;916,5;;916
917,06;917;;916
917,46;917,5;;916
917,85;918;;916
918,25;918,5;;918
919,04;919;;918
919,44;919,5;;919
919,83;920;;919
920,63;920,5;;920
921,02;921;;920
921,42;921,5;;921
921,81;922;;921
922,61;922,5;;922
923;923;;922
923,4;923,5;;922
923,79;924;;922
924,59;924,5;;924
924,98;925;;924
925,38;925,5;;925
925,77;926;;925
926,56;926,5;;926
926,96;927;;926
927,36;927,5;;927
927,75;928;;927
928,54;928,5;;928
928,94;929;;928
929,33;929,5;;928
930,12;930;;928
930,52;930,5;;930
930,91;931;;930
931,31;931,5;;931
932,1;932;;931
932,49;932,5;;932
932,89;933;;932
933,29;933,5;;933
934,07;934;;933
934,47;934,5;;934
934,86;935;;934
935,26;935,5;;934
936,05;936;;934
936,44;936,5;;936
936,84;937;;936
937,63;937,5;;937
938,02;938;;937
938,42;938,5;;938
938,81;939;;938
939,6;939,5;;939
939,99;940;;939
940,39;940,5;;939
940,78;941;;939
941,57;941,5;;941
941,97;942;;941
942,36;942,5;;942
942,75;943;;942
943,54;943,5;;943
943,94;944;;943
944,33;944,5;;944
945,12;945;;944
945,51;945,5;;945
945,91;946;;945
946,3;946,5;;945
947,09;947;;945
947,48;947,5;;947
947,87;948;;947
948,27;948,5;;948
949,05;949;;948
949,45;949,5;;949
949,84;950;;949
950,63;950,5;;950
951,02;951;;950
951,41;951,5;;951
951,81;952;;951
952,59;952,5;;951
952,99;953;;951
953,38;953,5;;953
953,77;954;;953
954,56;954,5;;954
954,95;955;;954
955,35;955,5;;955
956,13;956;;955
956,52;956,5;;956
956,92;957;;956
957,31;957,5;;957
958,09;958;;957
958,49;958,5;;957
958,88;959;;957
959,27;959,5;;959
960,06;960;;959
960,45;960,5;;960
960,84;961;;960
961,63;961,5;;961
962,02;962;;961
962,41;962,5;;962
962,8;963;;962
963,59;963,5;;963
963,98;964;;963
964,37;964,5;;963
964,76;965;;963
965,55;965,5;;965
965,94;966;;965
966,33;966,5;;966
967,11;967;;966
967,5;967,5;;967
967,9;968;;967
968,29;968,5;;968
969,07;969;;968
969,46;969,5;;969
969,85;970;;969
970,64;970,5;;969
971,03;971;;969
971,42;971,5;;971
971,81;972;;971
972,59;972,5;;972
972,98;973;;972
973,37;973,5;;973
973,76;974;;973
974,55;974,5;;974
974,94;975;;974
975,33;975,5;;975
976,11;976;;975
976,5;976,5;;975
976,89;977;;975
977,28;977,5;;977
978,06;978;;977
978,45;978,5;;978
978,84;979;;978
979,62;979,5;;979
980,01;980;;979
980,41;980,5;;980
980,8;981;;980
981,58;981,5;;981
981,97;982;;981
982,36;982,5;;981
982,75;983;;981
983,53;983,5;;983
983,92;984;;983
984,31;984,5;;984
985,09;985;;984
985,47;985,5;;985
985,86;986;;985
986,25;986,5;;986
987,03;987;;986
987,42;987,5;;987
987,81;988;;987
988,59;988,5;;987
988,98;989;;987
989,37;989,5;;989
989,76;990;;989
990,54;990,5;;990
990,93;991;;990
991,32;991,5;;991
992,09;992;;991
992,48;992,5;;992
992,87;993;;992
993,26;993,5;;992
994,04;994;;992
994,43;994,5;;994
994,82;995;;994
995,59;995,5;;995
995,98;996;;995
996,37;996,5;;996
996,76;997;;996
997,53;997,5;;997
997,92;998;;997
998,31;998,5;;998
999,09;999;;998
999,48;999,5;;998
999,86;1000;;998
1000,25;1000,5;;1000
1001,03;1001;;1000
1001,42;1001,5;;1001
1001,8;1002;;1001
1002,58;1002,5;;1002
1002,97;1003;;1002
1003,36;1003,5;;1003
1004,13;1004;;1003
1004,52;1004,5;;1004
1004,91;1005;;1004
1005,29;1005,5;;1004
1006,07;1006;;1004
1006,46;1006,5;;1006
1006,84;1007;;1006
1007,62;1007,5;;1007
1008;1008;;1007
1008,39;1008,5;;1008
1008,78;1009;;1008
1009,55;1009,5;;1009
1009,94;1010;;1009
1010,33;1010,5;;1010
1011,1;1011;;1010
1011,49;1011,5;;1010
1011,87;1012;;1010
1012,26;1012,5;;1012
1013,03;1013;;1012
1013,42;1013,5;;1013
1013,81;1014;;1013
1014,58;1014,5;;1014
1014,97;1015;;1014
1015,35;1015,5;;1015
1016,13;1016;;1015
1016,51;1016,5;;1016
1016,9;1017;;1016
1017,28;1017,5;;1016
1018,06;1018;;1016
1018,44;1018,5;;1018
1018,83;1019;;1018
1019,6;1019,5;;1019
1019,98;1020;;1019
1020,37;1020,5;;1020
1020,76;1021;;1020
1021,53;1021,5;;1021
1021,91;1022;;1021
1022,3;1022,5;;1022
1023,07;1023;;1022
1023,45;1023,5;;1022
1023,84;1024;;1022
1024,61;1024,5;;1024
1025;1025;;1024
1025,38;1025,5;;1025
1025,77;1026;;1025
1026,54;1026,5;;1026
1026,92;1027;;1026
1027,31;1027,5;;1027
1028,08;1028;;1027
1028,46;1028,5;;1027
1028,84;1029;;1027
1029,61;1029,5;;1029
1030;1030;;1029
1030,38;1030,5;;1030
1030,77;1031;;1030
1031,54;1031,5;;1031
1031,92;1032;;1031
1032,3;1032,5;;1032
1033,07;1033;;1032
1033,46;1033,5;;1033
1033,84;1034;;1033
1034,61;1034,5;;1033
1034,99;1035;;1033
1035,38;1035,5;;1035
1035,76;1036;;1035
1036,53;1036,5;;1036
1036,91;1037;;1036
1037,3;1037,5;;1037
1038,06;1038;;1037
1038,45;1038,5;;1038
1038,83;1039;;1038
1039,6;1039,5;;1039
1039,98;1040;;1039
1040,36;1040,5;;1039
1040,75;1041;;1039
1041,51;1041,5;;1041
1041,9;1042;;1041
1042,28;1042,5;;1042
1043,04;1043;;1042
1043,43;1043,5;;1043
1043,81;1044;;1043
1044,57;1044,5;;1044
1044,96;1045;;1044
1045,34;1045,5;;1045
1046,11;1046;;1045
1046,49;1046,5;;1045
1046,87;1047;;1045
1047,25;1047,5;;1047
1048,02;1048;;1047
1048,4;1048,5;;1048
1048,78;1049;;1048
1049,55;1049,5;;1049
1049,93;1050;;1049
1050,31;1050,5;;1050
1051,07;1051;;1050
1051,45;1051,5;;1051
1051,84;1052;;1051
1052,6;1052,5;;1051
1052,98;1053;;1051
1053,36;1053,5;;1053
1054,13;1054;;1053
1054,51;1054,5;;1054
1054,89;1055;;1054
1055,27;1055,5;;1055
1056,03;1056;;1055
1056,41;1056,5;;1056
1056,79;1057;;1056
1057,56;1057,5;;1056
1057,94;1058;;1056
1058,32;1058,5;;1058
1059,08;1059;;1058
1059,46;1059,5;;1059
1059,84;1060;;1059
1060,6;1060,5;;1060
1060,98;1061;;1060
1061,36;1061,5;;1061
1062,12;1062;;1061
1062,5;1062,5;;1062
1062,89;1063;;1062
1063,27;1063,5;;1062
1064,03;1064;;1062
1064,41;1064,5;;1064
1064,79;1065;;1064
1065,55;1065,5;;1065
1065,93;1066;;1065
1066,31;1066,5;;1066
1067,06;1067;;1066
1067,44;1067,5;;1067
1067,82;1068;;1067
1068,58;1068,5;;1068
1068,96;1069;;1068
1069,34;1069,5;;1068
1070,1;1070;;1068
1070,48;1070,5;;1070
1070,86;1071;;1070
1071,62;1071,5;;1071
1072;1072;;1071
1072,37;1072,5;;1072
1072,75;1073;;1072
1073,51;1073,5;;1073
1073,89;1074;;1073
1074,27;1074,5;;1074
1075,03;1075;;1074
1075,4;1075,5;;1074
1075,78;1076;;1074
1076,54;1076,5;;1076
1076,92;1077;;1076
1077,3;1077,5;;1077
1078,05;1078;;1077
1078,43;1078,5;;1078
1078,81;1079;;1078
1079,56;1079,5;;1079
1079,94;1080;;1079
1080,32;1080,5;;1080
1081,08;1081;;1080
1081,45;1081,5;;1080
1081,83;1082;;1080
1082,59;1082,5;;1082
1082,96;1083;;1082
1083,34;1083,5;;1083
1084,1;1084;;1083
1084,47;1084,5;;1084
1084,85;1085;;1084
1085,6;1085,5;;1085
1085,98;1086;;1085
1086,36;1086,5;;1085
1087,11;1087;;1085
1087,49;1087,5;;1087
1087,87;1088;;1087
1088,62;1088,5;;1088
1089;1089;;1088
1089,37;1089,5;;1089
1089,75;1090;;1089
1090,5;1090,5;;1090
1090,88;1091;;1090
1091,25;1091,5;;1091
1092,01;1092;;1091
1092,38;1092,5;;1091
1092,76;1093;;1091
1093,51;1093,5;;1093
1093,89;1094;;1093
1094,26;1094,5;;1094
1095,01;1095;;1094
1095,39;1095,5;;1095
1095,76;1096;;1095
1096,51;1096,5;;1096
1096,89;1097;;1096
1097,27;1097,5;;1097
1098,02;1098;;1097
1098,39;1098,5;;1097
1098,77;1099;;1097
1099,52;1099,5;;1099
1099,89;1100;;1099
1100,27;1100,5;;1100
1101,02;1101;;1100
1101,39;1101,5;;1101
1101,76;1102;;1101
1102,51;1102,5;;1102
1102,89;1103;;1102
1103,26;1103,5;;1102
1104,01;1104;;1102
1104,39;1104,5;;1104
1104,76;1105;;1104
1105,51;1105,5;;1105
1105,88;1106;;1105
1106,26;1106,5;;1106
1107;1107;;1106
1107,38;1107,5;;1107
1107,75;1108;;1107
1108,5;1108,5;;1108
1108,87;1109;;1108
1109,25;1109,5;;1108
1109,99;1110;;1108
1110,37;1110,5;;1110
1111,11;1111;;1110
1111,49;1111,5;;1111
1111,86;1112;;1111
1112,6;1112,5;;1112
1112,98;1113;;1112
1113,35;1113,5;;1113
1114,1;1114;;1113
1114,47;1114,5;;1114
1114,84;1115;;1114
1115,59;1115,5;;1114
1115,96;1116;;1114
1116,33;1116,5;;1116
1117,08;1117;;1116
;;;1117
