Wavelength(gantner);RoundedWavelength;Wavelength(std);Wavelength(Matching)
407,37;407,5;480;407
407,8;408;481;407
408,64;408,5;483;408
409,07;409;484;408
409,49;409,5;485;409
409,91;410;486;409
410,33;410,5;487;409
410,76;411;488;409
411,6;411,5;490;411
412,03;412;491;411
412,45;412,5;492;412
412,87;413;493;412
413,29;413,5;494;413
414,14;414;496;413
414,56;414,5;497;414
414,98;415;498;414
415,41;415,5;499;415
415,83;416;500;415
416,25;416,5;501;416
417,1;417;503;416
417,52;417,5;504;416
417,94;418;505;416
418,36;418,5;506;418
418,79;419;507;418
419,63;419,5;509;419
420,05;420;510;419
420,48;420,5;511;420
420,9;421;512;420
421,32;421,5;513;421
422,17;422;515;421
422,59;422,5;516;422
423,01;423;517;422
423,43;423,5;518;422
423,86;424;519;422
424,28;424,5;520;424
425,12;425;522;424
425,54;425,5;523;425
425,97;426;524;425
426,39;426,5;525;426
426,81;427;526;426
427,66;427,5;528;427
428,08;428;529;427
428,5;428,5;530;428
428,92;429;531;428
429,34;429,5;532;429
429,77;430;533;429
430,61;430,5;535;429
431,03;431;536;429
431,45;431,5;537;431
431,88;432;538;431
432,3;432,5;539;432
433,14;433;541;432
433,56;433,5;542;433
433,99;434;543;433
434,41;434,5;544;434
434,83;435;545;434
435,25;435,5;546;435
436,09;436;548;435
436,52;436,5;549;436
436,94;437;550;436
437,36;437,5;551;436
437,78;438;552;436
438,63;438,5;554;438
439,05;439;555;438
439,47;439,5;556;439
439,89;440;557;439
440,31;440,5;558;440
441,16;441;560;440
441,58;441,5;561;441
442;442;562;441
442,42;442,5;563;442
442,84;443;564;442
443,26;443,5;565;442
444,11;444;567;442
444,53;444,5;568;444
444,95;445;569;444
445,37;445,5;570;445
445,79;446;571;445
446,64;446,5;573;446
447,06;447;574;446
447,48;447,5;575;447
447,9;448;576;447
448,32;448,5;577;448
449,16;449;579;448
449,58;449,5;580;449
450,01;450;581;449
450,43;450,5;582;449
450,85;451;583;449
451,27;451,5;584;451
452,11;452;586;451
452,53;452,5;587;452
452,95;453;588;452
453,38;453,5;589;453
453,8;454;590;453
454,64;454,5;592;454
455,06;455;593;454
455,48;455,5;594;455
455,9;456;595;455
456,32;456,5;596;455
456,75;457;597;455
457,59;457,5;599;457
458,01;458;600;457
458,43;458,5;601;458
458,85;459;602;458
459,27;459,5;603;459
460,11;460;605;459
460,53;460,5;606;460
460,95;461;607;460
461,38;461,5;608;461
461,8;462;609;461
462,64;462,5;611;462
463,06;463;612;462
463,48;463,5;613;462
463,9;464;614;462
464,32;464,5;615;464
465,16;465;617;464
465,58;465,5;618;465
466;466;619;465
466,43;466,5;620;466
466,85;467;621;466
467,27;467,5;622;467
468,11;468;624;467
468,53;468,5;625;468
468,95;469;626;468
469,37;469,5;627;468
469,79;470;628;468
470,63;470,5;630;470
471,05;471;631;470
471,47;471,5;632;471
471,89;472;633;471
472,31;472,5;634;472
473,15;473;636;472
473,57;473,5;637;473
474;474;638;473
474,42;474,5;639;474
474,84;475;640;474
475,26;475,5;641;475
476,1;476;643;475
476,52;476,5;644;475
476,94;477;645;475
477,36;477,5;646;477
477,78;478;647;477
478,62;478,5;649;478
479,04;479;650;478
479,46;479,5;651;479
479,88;480;652;479
480,3;480,5;653;480
481,14;481;655;480
481,56;481,5;656;481
481,98;482;657;481
482,4;482,5;658;481
482,82;483;659;481
483,66;483,5;661;483
484,08;484;662;483
484,5;484,5;663;484
484,92;485;664;484
485,34;485,5;665;485
485,76;486;666;485
486,6;486,5;668;486
487,02;487;669;486
487,44;487,5;670;487
487,86;488;671;487
488,28;488,5;672;488
489,12;489;674;488
489,54;489,5;675;488
489,96;490;676;488
490,38;490,5;677;490
490,8;491;678;490
491,64;491,5;680;491
492,06;492;681;491
492,48;492,5;682;492
492,9;493;683;492
493,32;493,5;684;493
494,16;494;686;493
494,58;494,5;687;494
495;495;688;494
495,42;495,5;689;494
495,84;496;690;494
496,26;496,5;691;496
497,09;497;693;496
497,51;497,5;694;497
497,93;498;695;497
498,35;498,5;696;498
498,77;499;697;498
499,61;499,5;699;499
500,03;500;700;499
500,45;500,5;701;500
500,87;501;702;500
501,29;501,5;703;501
502,13;502;705;501
502,55;502,5;706;501
502,97;503;707;501
503,39;503,5;708;503
503,81;504;709;503
504,64;504,5;711;504
505,06;505;712;504
505,48;505,5;713;505
505,9;506;714;505
506,32;506,5;715;506
507,16;507;717;506
507,58;507,5;718;507
508;508;719;507
508,42;508,5;720;507
508,84;509;721;507
509,26;509,5;722;509
510,09;510;724;509
510,51;510,5;725;510
510,93;511;726;510
511,35;511,5;727;511
511,77;512;728;511
512,61;512,5;730;512
513,03;513;731;512
513,45;513,5;732;513
513,86;514;733;513
514,28;514,5;734;513
515,12;515;736;513
515,54;515,5;737;515
515,96;516;738;515
516,38;516,5;739;516
516,8;517;740;516
517,63;517,5;742;517
518,05;518;743;517
518,47;518,5;744;518
518,89;519;745;518
519,31;519,5;746;519
520,15;520;748;519
520,57;520,5;749;520
520,98;521;750;520
521,4;521,5;751;520
521,82;522;752;520
522,66;522,5;754;522
523,08;523;755;522
523,5;523,5;756;523
523,91;524;757;523
524,33;524,5;758;524
524,75;525;759;524
525,59;525,5;761;525
526,01;526;762;525
526,43;526,5;763;526
526,84;527;764;526
527,26;527,5;765;526
528,1;528;767;526
528,52;528,5;768;528
528,94;529;769;528
529,35;529,5;770;529
529,77;530;771;529
530,61;530,5;773;530
531,03;531;774;530
531,45;531,5;775;531
531,86;532;776;531
532,28;532,5;777;532
533,12;533;779;532
533,54;533,5;780;533
533,95;534;781;533
534,37;534,5;782;533
534,79;535;783;533
535,63;535,5;785;535
536,05;536;786;535
536,46;536,5;787;536
536,88;537;788;536
537,3;537,5;789;537
538,14;538;791;537
538,55;538,5;792;538
538,97;539;793;538
539,39;539,5;794;539
539,81;540;795;539
540,64;540,5;797;539
541,06;541;798;539
541,48;541,5;799;541
541,9;542;800;541
542,32;542,5;801;542
543,15;543;803;542
543,57;543,5;804;543
543,99;544;805;543
544,4;544,5;806;544
544,82;545;807;544
545,66;545,5;809;545
546,08;546;810;545
546,49;546,5;811;546
546,91;547;812;546
547,33;547,5;813;546
547,75;548;814;546
548,58;548,5;816;548
549;549;817;548
549,42;549,5;818;549
549,83;550;819;549
550,25;550,5;820;550
551,09;551;822;550
551,5;551,5;823;551
551,92;552;824;551
552,34;552,5;825;552
552,76;553;826;552
553,59;553,5;828;552
554,01;554;829;552
554,43;554,5;830;554
554,84;555;831;554
555,26;555,5;832;555
556,1;556;834;555
556,51;556,5;835;556
556,93;557;836;556
557,35;557,5;837;557
557,77;558;838;557
558,6;558,5;840;558
559,02;559;841;558
559,43;559,5;842;558
559,85;560;843;558
560,27;560,5;844;560
561,1;561;846;560
561,52;561,5;847;561
561,94;562;848;561
562,35;562,5;849;562
562,77;563;850;562
563,61;563,5;852;563
564,02;564;853;563
564,44;564,5;854;564
564,86;565;855;564
565,27;565,5;856;565
566,11;566;858;565
566,52;566,5;859;565
566,94;567;860;565
567,36;567,5;861;567
567,77;568;862;567
568,61;568,5;864;568
569,03;569;865;568
569,44;569,5;866;569
569,86;570;867;569
570,28;570,5;868;570
571,11;571;870;570
571,53;571,5;871;571
571,94;572;872;571
572,36;572,5;873;571
572,78;573;874;571
573,61;573,5;876;573
574,03;574;877;573
574,44;574,5;878;574
574,86;575;879;574
575,28;575,5;880;575
576,11;576;882;575
576,53;576,5;883;576
576,94;577;884;576
577,36;577,5;885;577
577,78;578;886;577
578,61;578,5;888;577
579,02;579;889;577
579,44;579,5;890;579
579,86;580;891;579
