Wavelength(nm),Timestamp,Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um)
420.48,2022/05/13 15:05:00,1058.1,1010.87,1009.77,1004.92,982.09,985.68
420.90,2022/05/13 15:05:00,1057.91,1011.06,1010.11,1004.43,982.03,985.19
421.32,2022/05/13 15:05:00,1057.88,1011.89,1011.09,1004.73,982.45,985.16
421.74,2022/05/13 15:05:00,1058.55,1012.79,1012.15,1005.88,984.21,986.13
422.17,2022/05/13 15:05:00,1059.44,1013.26,1012.29,1006.45,984.58,986.36
422.59,2022/05/13 15:05:00,1059.52,1013.07,1012.41,1006.36,985.09,986.57
423.01,2022/05/13 15:05:00,1057.7,1012.13,1011.79,1005.52,983.89,985.38
423.43,2022/05/13 15:05:00,1054.95,1009.32,1009.66,1002.66,981.35,982.35
423.86,2022/05/13 15:05:00,1051.18,1005.8,1006.47,999.58,977.56,979.24
424.28,2022/05/13 15:05:00,1047.62,1002.94,1003.11,996.31,974.56,975.92
424.70,2022/05/13 15:05:00,1043.86,999.14,999.48,993.12,971.96,972.65
425.12,2022/05/13 15:05:00,1040.02,994.36,995.41,988.09,967.87,969.27
425.54,2022/05/13 15:05:00,1034.01,988.67,989.73,981.79,961.86,963.27
425.97,2022/05/13 15:05:00,1026.12,981.52,983.12,974.56,954.4,956.36
426.39,2022/05/13 15:05:00,1017.55,972.84,974.83,966.53,946.89,948.87
426.81,2022/05/13 15:05:00,1007.45,964.53,965.8,957.98,938.16,939.43
427.23,2022/05/13 15:05:00,998.32,955.21,956.13,949.15,929.16,931.73
427.66,2022/05/13 15:05:00,988.52,945.84,946.21,939.19,920.16,922.19
428.08,2022/05/13 15:05:00,978.99,936.97,936.23,929.91,910.76,912.99
428.50,2022/05/13 15:05:00,970.19,929.25,929.25,921.96,902.89,905.7
428.92,2022/05/13 15:05:00,964.1,923.71,923.71,916.39,897.6,900.42
429.34,2022/05/13 15:05:00,961.25,920.69,920.12,913.14,894.46,898.05
429.77,2022/05/13 15:05:00,959.21,919.63,918.3,912.05,893.49,896.71
430.19,2022/05/13 15:05:00,959.23,920.09,918.38,912.11,893.49,896.15
430.61,2022/05/13 15:05:00,960.32,920.7,919.18,913.27,893.84,897.27
431.03,2022/05/13 15:05:00,962.0,922.87,921.16,915.05,894.82,899.21
431.45,2022/05/13 15:05:00,965.93,926.91,925.76,919.64,898.03,903.19
431.88,2022/05/13 15:05:00,970.69,931.81,930.86,925.3,903.66,908.26
432.30,2022/05/13 15:05:00,978.54,939.25,937.91,932.54,911.26,914.9
432.72,2022/05/13 15:05:00,987.49,948.17,946.25,941.45,918.63,923.04
433.14,2022/05/13 15:05:00,998.61,958.3,957.72,952.16,928.74,934.11
433.56,2022/05/13 15:05:00,1010.64,969.72,969.15,963.38,939.56,945.14
433.99,2022/05/13 15:05:00,1022.36,980.44,980.44,974.87,950.45,957.18
434.41,2022/05/13 15:05:00,1031.89,988.66,989.04,983.28,959.26,965.41
434.83,2022/05/13 15:05:00,1038.19,995.22,995.02,989.27,965.09,971.04
435.25,2022/05/13 15:05:00,1042.09,998.25,998.63,992.89,968.0,973.93
435.67,2022/05/13 15:05:00,1043.61,999.48,1001.2,993.75,968.92,975.03
436.09,2022/05/13 15:05:00,1042.85,997.92,1000.4,992.97,968.04,973.94
436.52,2022/05/13 15:05:00,1041.54,996.21,999.25,991.85,967.2,972.7
436.94,2022/05/13 15:05:00,1041.89,996.14,999.55,991.04,967.41,973.46
437.36,2022/05/13 15:05:00,1043.43,997.6,1002.51,993.08,969.31,975.73
437.78,2022/05/13 15:05:00,1045.11,999.44,1004.14,994.93,971.81,977.82
438.20,2022/05/13 15:05:00,1047.86,1001.61,1006.29,996.75,974.09,979.71
438.63,2022/05/13 15:05:00,1048.71,1002.71,1006.99,998.61,975.33,981.1
439.05,2022/05/13 15:05:00,1049.73,1003.8,1008.43,999.35,976.57,982.13
439.47,2022/05/13 15:05:00,1051.2,1005.16,1009.03,1000.56,978.64,983.24
439.89,2022/05/13 15:05:00,1052.09,1006.51,1011.27,1002.48,980.15,984.17
440.31,2022/05/13 15:05:00,1054.76,1009.95,1014.32,1006.31,982.82,985.91
440.73,2022/05/13 15:05:00,1059.29,1013.98,1017.61,1009.45,985.89,990.06
441.16,2022/05/13 15:05:00,1063.88,1017.71,1021.68,1013.57,990.49,995.35
441.58,2022/05/13 15:05:00,1068.19,1022.12,1026.06,1017.46,994.69,999.35
442.00,2022/05/13 15:05:00,1073.94,1027.05,1030.44,1022.95,999.6,1005.3
442.42,2022/05/13 15:05:00,1079.76,1033.1,1036.29,1029.37,1005.42,1010.92
442.84,2022/05/13 15:05:00,1085.47,1039.06,1041.53,1034.3,1010.47,1016.47
443.26,2022/05/13 15:05:00,1091.89,1045.14,1047.95,1041.09,1016.14,1022.81
443.68,2022/05/13 15:05:00,1098.78,1052.36,1053.76,1047.8,1022.58,1028.71
444.11,2022/05/13 15:05:00,1105.26,1058.67,1060.24,1053.26,1028.31,1034.59
444.53,2022/05/13 15:05:00,1111.41,1064.83,1066.39,1059.79,1033.72,1040.67
444.95,2022/05/13 15:05:00,1117.7,1071.63,1072.67,1066.26,1039.93,1047.04
445.37,2022/05/13 15:05:00,1126.36,1081.23,1081.58,1074.84,1048.38,1056.33
445.79,2022/05/13 15:05:00,1135.99,1090.75,1091.27,1084.02,1056.92,1065.03
446.21,2022/05/13 15:05:00,1146.9,1100.01,1100.53,1093.8,1066.73,1075.52
446.64,2022/05/13 15:05:00,1156.05,1109.09,1109.44,1102.39,1076.07,1084.84
447.06,2022/05/13 15:05:00,1165.67,1119.13,1120.84,1113.8,1086.67,1094.57
447.48,2022/05/13 15:05:00,1177.91,1132.01,1133.04,1125.83,1098.5,1106.23
447.90,2022/05/13 15:05:00,1191.08,1144.92,1145.44,1138.89,1110.47,1118.57
448.32,2022/05/13 15:05:00,1202.48,1156.2,1156.72,1149.47,1121.67,1128.75
448.74,2022/05/13 15:05:00,1214.13,1166.81,1167.16,1159.88,1132.15,1139.25
449.16,2022/05/13 15:05:00,1225.56,1177.79,1178.31,1171.16,1142.4,1149.54
449.58,2022/05/13 15:05:00,1235.77,1188.69,1188.86,1181.49,1153.2,1159.35
450.01,2022/05/13 15:05:00,1246.06,1198.4,1198.22,1190.78,1162.25,1169.33
450.43,2022/05/13 15:05:00,1255.51,1207.19,1206.83,1199.67,1170.86,1178.56
450.85,2022/05/13 15:05:00,1262.55,1214.81,1214.81,1207.21,1178.46,1184.97
451.27,2022/05/13 15:05:00,1269.54,1220.54,1221.46,1213.78,1184.53,1190.74
451.69,2022/05/13 15:05:00,1275.22,1225.84,1227.14,1219.0,1189.41,1195.88
452.11,2022/05/13 15:05:00,1281.03,1231.0,1232.68,1223.88,1194.27,1200.64
452.53,2022/05/13 15:05:00,1286.89,1237.84,1238.41,1229.67,1199.25,1206.66
452.95,2022/05/13 15:05:00,1292.53,1243.27,1244.43,1235.55,1204.83,1212.56
453.38,2022/05/13 15:05:00,1298.56,1249.43,1249.04,1240.39,1209.93,1217.99
453.80,2022/05/13 15:05:00,1302.88,1254.13,1253.13,1245.13,1213.96,1222.55
454.22,2022/05/13 15:05:00,1306.83,1257.67,1256.86,1248.93,1217.65,1226.18
454.64,2022/05/13 15:05:00,1309.77,1260.87,1260.04,1252.41,1220.01,1229.92
455.06,2022/05/13 15:05:00,1311.49,1263.95,1262.48,1255.15,1222.06,1232.53
455.48,2022/05/13 15:05:00,1316.58,1268.05,1267.41,1259.32,1227.19,1237.83
455.90,2022/05/13 15:05:00,1322.51,1273.64,1271.91,1264.56,1231.69,1242.72
456.32,2022/05/13 15:05:00,1328.41,1278.74,1277.42,1270.39,1237.21,1247.32
456.75,2022/05/13 15:05:00,1334.68,1285.09,1283.3,1276.15,1243.54,1252.7
457.17,2022/05/13 15:05:00,1341.9,1291.7,1288.97,1281.25,1249.44,1260.12
457.59,2022/05/13 15:05:00,1348.14,1297.08,1294.54,1287.83,1254.8,1266.81
458.01,2022/05/13 15:05:00,1353.72,1302.25,1299.67,1293.09,1259.95,1271.23
458.43,2022/05/13 15:05:00,1358.65,1308.41,1303.62,1298.84,1264.87,1277.55
458.85,2022/05/13 15:05:00,1364.67,1311.79,1308.62,1303.26,1269.63,1281.57
459.27,2022/05/13 15:05:00,1367.78,1314.18,1310.96,1305.5,1271.5,1284.16
459.69,2022/05/13 15:05:00,1369.54,1315.22,1312.95,1307.39,1273.03,1285.41
460.11,2022/05/13 15:05:00,1371.37,1317.3,1316.27,1309.57,1275.07,1286.92
460.53,2022/05/13 15:05:00,1372.87,1319.29,1317.19,1311.41,1276.48,1288.83
460.95,2022/05/13 15:05:00,1375.15,1320.97,1319.09,1313.46,1278.59,1289.85
461.38,2022/05/13 15:05:00,1377.11,1323.11,1320.92,1315.99,1280.63,1291.59
461.80,2022/05/13 15:05:00,1376.94,1324.26,1320.62,1317.82,1280.83,1292.32
462.22,2022/05/13 15:05:00,1377.59,1325.69,1322.82,1319.95,1282.67,1293.28
462.64,2022/05/13 15:05:00,1378.06,1326.39,1323.16,1319.64,1283.53,1293.21
463.06,2022/05/13 15:05:00,1379.33,1326.99,1323.08,1321.87,1283.07,1293.29
463.48,2022/05/13 15:05:00,1377.65,1324.93,1322.47,1321.85,1282.39,1292.56
463.90,2022/05/13 15:05:00,1376.53,1324.67,1321.5,1319.92,1282.61,1291.46
464.32,2022/05/13 15:05:00,1374.08,1322.82,1319.57,1318.28,1279.99,1289.72
464.74,2022/05/13 15:05:00,1371.49,1319.17,1318.17,1315.17,1277.17,1286.84
465.16,2022/05/13 15:05:00,1367.39,1317.39,1313.63,1312.6,1274.93,1283.15
465.58,2022/05/13 15:05:00,1363.86,1313.61,1309.04,1310.45,1271.79,1279.52
466.00,2022/05/13 15:05:00,1359.31,1309.63,1304.95,1306.03,1268.59,1276.87
466.43,2022/05/13 15:05:00,1356.08,1305.3,1299.78,1301.62,1264.82,1273.28
466.85,2022/05/13 15:05:00,1353.34,1301.93,1296.3,1296.3,1261.4,1268.9
467.27,2022/05/13 15:05:00,1349.42,1298.62,1292.12,1291.74,1256.98,1265.39
467.69,2022/05/13 15:05:00,1347.73,1294.57,1288.75,1286.42,1253.43,1261.97
468.11,2022/05/13 15:05:00,1345.07,1292.32,1287.6,1283.66,1252.57,1259.65
468.53,2022/05/13 15:05:00,1343.06,1291.26,1286.48,1281.3,1249.03,1257.8
468.95,2022/05/13 15:05:00,1341.88,1289.94,1285.11,1280.68,1247.26,1257.33
469.37,2022/05/13 15:05:00,1340.88,1290.09,1285.62,1279.53,1247.83,1256.77
469.79,2022/05/13 15:05:00,1341.9,1291.13,1286.21,1280.89,1248.54,1258.37
470.21,2022/05/13 15:05:00,1343.28,1293.03,1286.85,1281.08,1248.95,1258.43
470.63,2022/05/13 15:05:00,1343.72,1293.3,1285.44,1280.9,1250.72,1258.16
471.05,2022/05/13 15:05:00,1345.29,1294.38,1285.27,1281.96,1252.98,1259.19
471.47,2022/05/13 15:05:00,1346.02,1295.93,1287.64,1283.5,1254.52,1259.9
471.89,2022/05/13 15:05:00,1347.54,1297.84,1289.98,1283.76,1256.43,1261.82
472.31,2022/05/13 15:05:00,1349.19,1300.26,1291.55,1285.75,1256.73,1262.12
472.73,2022/05/13 15:05:00,1350.69,1301.67,1293.78,1286.3,1258.46,1264.28
473.15,2022/05/13 15:05:00,1352.44,1302.83,1296.16,1289.07,1259.89,1266.56
473.57,2022/05/13 15:05:00,1353.71,1304.74,1299.3,1290.92,1262.88,1268.74
474.00,2022/05/13 15:05:00,1355.28,1306.54,1300.65,1293.09,1264.93,1271.66
474.42,2022/05/13 15:05:00,1356.91,1307.98,1302.07,1295.32,1267.06,1272.97
474.84,2022/05/13 15:05:00,1357.86,1309.2,1302.0,1296.93,1269.0,1274.92
475.26,2022/05/13 15:05:00,1358.59,1309.36,1302.99,1297.9,1269.46,1276.25
475.68,2022/05/13 15:05:00,1360.45,1310.2,1304.67,1299.13,1270.18,1276.99
476.10,2022/05/13 15:05:00,1361.23,1309.58,1304.88,1298.05,1268.6,1276.28
476.52,2022/05/13 15:05:00,1360.61,1309.25,1304.97,1299.84,1268.59,1276.3
476.94,2022/05/13 15:05:00,1361.93,1309.56,1306.99,1301.84,1270.07,1276.94
477.36,2022/05/13 15:05:00,1361.82,1310.19,1308.04,1302.01,1269.31,1278.35
477.78,2022/05/13 15:05:00,1362.35,1310.15,1309.72,1303.25,1270.03,1280.39
478.20,2022/05/13 15:05:00,1364.39,1311.18,1309.89,1302.96,1270.95,1281.77
478.62,2022/05/13 15:05:00,1368.06,1313.8,1311.63,1306.42,1272.57,1284.29
479.04,2022/05/13 15:05:00,1369.7,1314.42,1313.55,1308.33,1273.08,1285.26
479.46,2022/05/13 15:05:00,1369.64,1315.13,1312.95,1308.59,1273.27,1284.17
479.88,2022/05/13 15:05:00,1370.1,1315.46,1312.83,1309.33,1273.05,1284.85
480.30,2022/05/13 15:05:00,1369.1,1313.02,1310.83,1307.33,1272.72,1284.11
480.72,2022/05/13 15:05:00,1365.33,1309.61,1306.54,1303.91,1269.25,1280.66
481.14,2022/05/13 15:05:00,1361.98,1304.37,1303.49,1300.41,1266.11,1276.23
481.56,2022/05/13 15:05:00,1357.38,1299.61,1298.72,1294.31,1261.68,1273.15
481.98,2022/05/13 15:05:00,1348.39,1293.13,1292.25,1287.82,1255.99,1266.16
482.40,2022/05/13 15:05:00,1339.44,1283.63,1284.07,1279.64,1247.75,1258.82
482.82,2022/05/13 15:05:00,1329.5,1274.49,1274.49,1269.17,1239.0,1249.2
483.24,2022/05/13 15:05:00,1318.72,1265.39,1264.5,1260.05,1229.38,1240.5
483.66,2022/05/13 15:05:00,1306.83,1253.4,1252.96,1249.39,1219.12,1230.25
484.08,2022/05/13 15:05:00,1295.95,1243.77,1242.43,1239.31,1209.88,1219.69
484.50,2022/05/13 15:05:00,1286.19,1234.35,1234.8,1231.22,1200.83,1211.56
484.92,2022/05/13 15:05:00,1277.27,1226.21,1228.0,1222.63,1194.86,1202.92
485.34,2022/05/13 15:05:00,1270.69,1219.55,1220.0,1215.07,1188.16,1196.23
485.76,2022/05/13 15:05:00,1263.54,1211.89,1214.58,1208.74,1182.24,1191.22
486.18,2022/05/13 15:05:00,1257.51,1206.69,1209.84,1202.64,1178.8,1185.55
486.60,2022/05/13 15:05:00,1255.1,1205.09,1208.24,1200.14,1174.91,1182.12
487.02,2022/05/13 15:05:00,1252.47,1202.84,1207.8,1198.32,1172.16,1181.63
487.44,2022/05/13 15:05:00,1253.51,1202.88,1207.41,1198.36,1170.79,1182.09
487.86,2022/05/13 15:05:00,1254.95,1204.19,1210.08,1201.02,1173.37,1181.98
488.28,2022/05/13 15:05:00,1257.0,1205.27,1211.62,1203.91,1175.32,1184.85
488.70,2022/05/13 15:05:00,1260.05,1208.7,1213.7,1205.52,1178.26,1186.89
489.12,2022/05/13 15:05:00,1265.18,1212.83,1218.29,1208.73,1180.05,1190.06
489.54,2022/05/13 15:05:00,1270.72,1217.36,1222.83,1211.89,1184.06,1194.55
489.96,2022/05/13 15:05:00,1276.17,1223.14,1228.63,1217.66,1188.41,1199.38
490.38,2022/05/13 15:05:00,1279.63,1226.55,1232.95,1221.05,1191.31,1203.66
490.80,2022/05/13 15:05:00,1283.84,1231.13,1236.63,1226.54,1194.92,1207.75
491.22,2022/05/13 15:05:00,1288.06,1234.33,1238.93,1230.66,1198.06,1210.46
491.64,2022/05/13 15:05:00,1290.07,1238.52,1240.82,1233.92,1201.24,1213.21
492.06,2022/05/13 15:05:00,1293.51,1241.34,1243.19,1235.8,1203.95,1215.95
492.48,2022/05/13 15:05:00,1294.19,1241.02,1242.87,1237.32,1204.03,1216.05
492.90,2022/05/13 15:05:00,1294.04,1241.22,1243.54,1237.51,1205.54,1216.66
493.32,2022/05/13 15:05:00,1294.81,1241.38,1243.24,1237.67,1207.0,1216.3
493.74,2022/05/13 15:05:00,1294.8,1241.24,1243.1,1237.51,1206.77,1215.62
494.16,2022/05/13 15:05:00,1293.26,1239.14,1240.54,1236.34,1206.48,1214.88
494.58,2022/05/13 15:05:00,1292.27,1238.07,1238.54,1234.33,1204.43,1211.91
495.00,2022/05/13 15:05:00,1288.31,1235.93,1236.87,1232.66,1202.27,1208.81
495.42,2022/05/13 15:05:00,1285.8,1233.8,1235.21,1231.46,1202.42,1207.57
495.84,2022/05/13 15:05:00,1281.54,1231.83,1232.77,1229.02,1200.89,1204.17
496.26,2022/05/13 15:05:00,1278.37,1228.62,1230.5,1225.34,1198.12,1201.87
496.67,2022/05/13 15:05:00,1273.41,1221.79,1225.08,1220.39,1194.11,1196.46
497.09,2022/05/13 15:05:00,1268.24,1217.12,1220.4,1213.37,1188.98,1189.92
497.51,2022/05/13 15:05:00,1261.64,1210.07,1214.29,1207.26,1183.81,1185.69
497.93,2022/05/13 15:05:00,1254.27,1201.83,1207.45,1199.03,1177.02,1179.36
498.35,2022/05/13 15:05:00,1245.73,1193.41,1199.48,1191.54,1167.72,1170.52
498.77,2022/05/13 15:05:00,1235.57,1182.5,1191.34,1182.96,1158.29,1162.48
499.19,2022/05/13 15:05:00,1226.19,1173.32,1182.14,1173.32,1150.14,1153.38
499.61,2022/05/13 15:05:00,1218.11,1165.45,1173.77,1165.45,1140.51,1144.67
500.03,2022/05/13 15:05:00,1207.84,1157.73,1166.46,1158.65,1132.9,1137.96
500.45,2022/05/13 15:05:00,1200.95,1152.47,1158.42,1150.19,1125.49,1129.61
500.87,2022/05/13 15:05:00,1192.22,1144.49,1151.31,1143.13,1119.04,1122.22
501.29,2022/05/13 15:05:00,1185.31,1138.36,1144.68,1136.11,1112.18,1115.8
501.71,2022/05/13 15:05:00,1178.59,1131.12,1137.84,1129.78,1106.5,1109.18
502.13,2022/05/13 15:05:00,1171.9,1125.72,1131.04,1124.83,1098.18,1103.96
502.55,2022/05/13 15:05:00,1166.28,1120.07,1124.91,1118.75,1093.66,1097.18
502.97,2022/05/13 15:05:00,1160.66,1115.31,1120.11,1114.88,1087.84,1092.64
503.39,2022/05/13 15:05:00,1155.28,1111.24,1115.56,1111.67,1084.48,1088.79
503.81,2022/05/13 15:05:00,1151.66,1107.22,1112.35,1106.37,1079.87,1083.72
504.22,2022/05/13 15:05:00,1146.24,1103.94,1109.44,1103.1,1076.03,1081.1
504.64,2022/05/13 15:05:00,1143.12,1102.07,1107.1,1102.07,1074.84,1078.61
505.06,2022/05/13 15:05:00,1141.77,1101.11,1104.43,1101.11,1073.31,1076.21
505.48,2022/05/13 15:05:00,1140.68,1101.61,1104.08,1101.61,1073.24,1075.71
505.90,2022/05/13 15:05:00,1140.3,1101.17,1105.25,1101.58,1073.46,1075.09
506.32,2022/05/13 15:05:00,1141.9,1102.68,1105.92,1102.68,1074.38,1075.18
506.74,2022/05/13 15:05:00,1143.94,1104.59,1108.61,1105.39,1076.08,1078.89
507.16,2022/05/13 15:05:00,1147.73,1107.42,1111.81,1109.02,1079.09,1083.48
507.58,2022/05/13 15:05:00,1153.38,1111.31,1116.87,1112.1,1081.94,1087.1
508.00,2022/05/13 15:05:00,1157.93,1114.86,1121.97,1115.65,1086.42,1090.37
508.42,2022/05/13 15:05:00,1165.08,1121.74,1129.23,1119.77,1094.16,1096.92
508.84,2022/05/13 15:05:00,1173.68,1128.83,1136.7,1127.65,1099.32,1105.62
509.26,2022/05/13 15:05:00,1180.28,1137.81,1144.49,1135.84,1106.34,1113.82
509.67,2022/05/13 15:05:00,1188.7,1146.19,1152.89,1143.05,1114.71,1122.18
510.09,2022/05/13 15:05:00,1198.53,1155.16,1161.47,1152.8,1123.23,1129.93
510.51,2022/05/13 15:05:00,1207.11,1163.25,1169.97,1161.27,1132.03,1138.75
510.93,2022/05/13 15:05:00,1216.0,1172.42,1177.97,1167.27,1139.14,1147.06
511.35,2022/05/13 15:05:00,1225.15,1180.98,1186.95,1175.41,1147.56,1156.31
511.77,2022/05/13 15:05:00,1234.87,1188.88,1195.28,1182.48,1156.09,1165.29
512.19,2022/05/13 15:05:00,1242.14,1196.7,1202.33,1189.87,1162.93,1174.19
512.61,2022/05/13 15:05:00,1249.11,1203.02,1207.46,1194.52,1167.43,1179.97
513.03,2022/05/13 15:05:00,1253.45,1207.9,1211.56,1197.73,1172.92,1184.72
513.45,2022/05/13 15:05:00,1255.72,1210.72,1211.54,1200.9,1173.89,1186.58
513.86,2022/05/13 15:05:00,1254.9,1211.26,1211.67,1202.2,1175.03,1188.2
514.28,2022/05/13 15:05:00,1253.9,1209.2,1210.02,1202.16,1173.59,1188.08
514.70,2022/05/13 15:05:00,1251.22,1206.7,1208.36,1200.45,1170.08,1184.23
515.12,2022/05/13 15:05:00,1247.46,1204.79,1204.79,1197.68,1169.23,1180.11
515.54,2022/05/13 15:05:00,1247.08,1201.64,1202.06,1195.75,1169.25,1178.92
515.96,2022/05/13 15:05:00,1245.83,1200.98,1200.98,1195.49,1167.57,1176.87
516.38,2022/05/13 15:05:00,1243.11,1199.32,1199.32,1193.79,1167.01,1178.06
516.80,2022/05/13 15:05:00,1243.37,1201.07,1199.79,1192.53,1166.04,1176.29
517.22,2022/05/13 15:05:00,1243.35,1202.14,1201.28,1195.7,1167.36,1175.95
517.63,2022/05/13 15:05:00,1245.19,1204.65,1202.92,1197.32,1167.99,1177.48
518.05,2022/05/13 15:05:00,1248.09,1206.5,1204.77,1200.43,1168.81,1178.34
518.47,2022/05/13 15:05:00,1250.48,1208.74,1207.44,1201.78,1171.35,1179.61
518.89,2022/05/13 15:05:00,1253.91,1210.7,1212.88,1206.77,1175.79,1181.9
519.31,2022/05/13 15:05:00,1258.73,1215.36,1217.11,1210.54,1179.43,1186.0
519.73,2022/05/13 15:05:00,1263.59,1220.5,1223.58,1214.78,1183.57,1190.6
520.15,2022/05/13 15:05:00,1269.13,1225.48,1229.89,1220.19,1188.44,1196.81
520.57,2022/05/13 15:05:00,1275.79,1233.34,1236.43,1224.94,1195.31,1203.27
520.98,2022/05/13 15:05:00,1281.6,1238.6,1243.04,1231.07,1200.92,1209.35
521.40,2022/05/13 15:05:00,1288.77,1244.77,1248.33,1235.88,1205.66,1215.0
521.82,2022/05/13 15:05:00,1293.93,1250.26,1252.49,1239.57,1209.27,1219.07
522.24,2022/05/13 15:05:00,1297.57,1254.24,1255.58,1242.63,1211.81,1223.42
522.66,2022/05/13 15:05:00,1301.57,1256.79,1257.24,1243.36,1213.36,1224.11
523.08,2022/05/13 15:05:00,1301.57,1255.79,1257.14,1243.67,1213.16,1223.93
523.50,2022/05/13 15:05:00,1301.59,1253.91,1255.26,1241.32,1212.54,1222.88
523.91,2022/05/13 15:05:00,1299.58,1252.28,1252.73,1237.41,1209.03,1219.39
524.33,2022/05/13 15:05:00,1295.53,1250.4,1250.4,1235.51,1206.63,1217.46
524.75,2022/05/13 15:05:00,1293.55,1247.44,1247.44,1232.53,1204.51,1216.71
525.17,2022/05/13 15:05:00,1289.48,1246.01,1245.11,1230.17,1203.0,1214.32
525.59,2022/05/13 15:05:00,1287.72,1243.74,1244.19,1229.68,1201.57,1212.0
526.01,2022/05/13 15:05:00,1289.44,1244.02,1243.11,1228.12,1202.69,1213.13
526.43,2022/05/13 15:05:00,1289.13,1244.11,1243.66,1229.11,1200.91,1212.28
526.84,2022/05/13 15:05:00,1289.09,1242.64,1243.1,1229.43,1201.2,1213.04
527.26,2022/05/13 15:05:00,1289.73,1242.79,1240.97,1229.12,1201.32,1211.8
527.68,2022/05/13 15:05:00,1287.96,1242.35,1241.9,1230.95,1200.85,1212.25
528.10,2022/05/13 15:05:00,1287.63,1241.07,1242.44,1229.66,1200.45,1212.32
528.52,2022/05/13 15:05:00,1287.09,1241.86,1240.95,1229.52,1200.74,1211.71
528.94,2022/05/13 15:05:00,1288.04,1242.76,1242.3,1230.87,1200.68,1213.03
529.35,2022/05/13 15:05:00,1289.44,1243.21,1243.21,1230.85,1202.02,1213.92
529.77,2022/05/13 15:05:00,1288.44,1243.1,1244.01,1231.19,1201.88,1215.16
530.19,2022/05/13 15:05:00,1290.54,1243.31,1244.68,1232.76,1204.33,1216.71
530.61,2022/05/13 15:05:00,1293.27,1244.63,1245.09,1232.7,1205.16,1217.09
531.03,2022/05/13 15:05:00,1294.97,1247.18,1245.8,1234.31,1204.9,1217.31
531.45,2022/05/13 15:05:00,1296.62,1248.78,1246.03,1234.53,1206.01,1217.97
531.86,2022/05/13 15:05:00,1294.81,1249.24,1246.48,1234.05,1206.44,1218.4
532.28,2022/05/13 15:05:00,1293.84,1249.17,1245.02,1233.5,1206.33,1216.46
532.70,2022/05/13 15:05:00,1292.24,1249.36,1242.45,1231.84,1206.49,1215.25
533.12,2022/05/13 15:05:00,1290.66,1250.07,1241.3,1229.77,1204.86,1213.16
533.54,2022/05/13 15:05:00,1288.6,1248.45,1240.6,1228.6,1203.22,1211.53
533.95,2022/05/13 15:05:00,1286.04,1244.94,1237.55,1225.55,1201.07,1209.85
534.37,2022/05/13 15:05:00,1284.22,1244.48,1236.62,1223.22,1198.73,1207.05
534.79,2022/05/13 15:05:00,1281.97,1241.28,1236.2,1222.33,1195.98,1205.22
535.21,2022/05/13 15:05:00,1281.27,1239.64,1234.55,1220.21,1194.77,1204.02
535.63,2022/05/13 15:05:00,1279.08,1238.36,1232.35,1219.39,1193.47,1200.88
536.05,2022/05/13 15:05:00,1277.85,1237.1,1230.16,1218.12,1191.73,1199.14
536.46,2022/05/13 15:05:00,1276.52,1235.75,1229.73,1215.83,1190.8,1198.68
536.88,2022/05/13 15:05:00,1271.82,1233.81,1226.4,1214.81,1187.93,1195.34
537.30,2022/05/13 15:05:00,1269.43,1231.87,1223.06,1210.08,1186.44,1193.39
537.72,2022/05/13 15:05:00,1266.74,1227.78,1219.89,1208.3,1181.4,1189.74
538.14,2022/05/13 15:05:00,1264.19,1223.81,1215.46,1205.71,1177.87,1184.36
538.55,2022/05/13 15:05:00,1259.67,1219.74,1211.84,1202.09,1174.7,1182.13
538.97,2022/05/13 15:05:00,1257.0,1214.72,1208.22,1199.39,1170.13,1179.42
539.39,2022/05/13 15:05:00,1254.26,1211.03,1206.84,1195.69,1166.4,1177.09
539.81,2022/05/13 15:05:00,1250.98,1209.58,1204.46,1193.3,1165.38,1175.15
540.23,2022/05/13 15:05:00,1250.32,1207.96,1202.84,1190.27,1163.74,1173.51
540.64,2022/05/13 15:05:00,1247.72,1204.88,1201.15,1188.57,1162.96,1171.34
541.06,2022/05/13 15:05:00,1246.86,1203.98,1200.25,1187.2,1163.43,1169.95
541.48,2022/05/13 15:05:00,1244.72,1203.21,1198.55,1186.42,1161.71,1168.24
541.90,2022/05/13 15:05:00,1244.1,1201.63,1196.5,1187.63,1160.57,1168.03
542.32,2022/05/13 15:05:00,1243.83,1201.34,1195.27,1187.8,1160.25,1166.79
542.73,2022/05/13 15:05:00,1244.93,1201.94,1196.33,1188.86,1160.35,1166.42
543.15,2022/05/13 15:05:00,1245.07,1199.23,1198.29,1188.94,1159.94,1168.36
543.57,2022/05/13 15:05:00,1245.69,1199.82,1198.88,1189.99,1160.96,1168.45
543.99,2022/05/13 15:05:00,1244.75,1200.71,1197.9,1189.0,1161.36,1167.92
544.40,2022/05/13 15:05:00,1245.49,1200.96,1196.74,1188.77,1162.52,1169.55
544.82,2022/05/13 15:05:00,1246.87,1202.76,1197.13,1187.74,1162.4,1169.91
545.24,2022/05/13 15:05:00,1246.41,1203.2,1197.1,1187.7,1162.34,1169.86
545.66,2022/05/13 15:05:00,1245.66,1203.36,1194.9,1187.85,1162.93,1169.04
546.08,2022/05/13 15:05:00,1245.81,1202.06,1192.65,1187.0,1161.13,1167.71
