Wavelength(nm),Timestamp,Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um)
312.23,2022/05/13 15:05:00,108.22,97.48,96.49,96.63,92.54,91.69
312.66,2022/05/13 15:05:00,113.86,103.03,101.9,102.32,98.24,96.83
313.09,2022/05/13 15:05:00,120.26,108.74,107.75,107.61,104.1,102.56
313.51,2022/05/13 15:05:00,126.32,114.67,113.69,113.83,109.76,108.5
313.94,2022/05/13 15:05:00,133.18,120.97,120.13,119.99,116.2,114.38
314.37,2022/05/13 15:05:00,139.3,126.84,125.86,125.58,122.08,119.98
314.79,2022/05/13 15:05:00,145.46,132.61,131.91,131.91,127.72,126.18
315.22,2022/05/13 15:05:00,152.34,138.81,138.11,137.97,133.79,132.25
315.65,2022/05/13 15:05:00,158.89,145.09,143.98,143.98,139.94,138.68
316.07,2022/05/13 15:05:00,165.47,151.39,150.83,150.41,146.09,145.11
316.50,2022/05/13 15:05:00,172.26,157.78,157.22,156.53,152.07,151.23
316.92,2022/05/13 15:05:00,178.62,164.04,163.06,162.92,158.06,157.23
317.35,2022/05/13 15:05:00,185.71,170.57,169.87,169.73,164.59,163.62
317.78,2022/05/13 15:05:00,192.4,177.0,176.03,175.76,171.04,169.79
318.20,2022/05/13 15:05:00,199.07,183.27,182.3,182.16,177.03,176.06
318.63,2022/05/13 15:05:00,205.42,189.08,188.39,187.97,182.85,181.88
319.06,2022/05/13 15:05:00,211.6,195.28,193.9,193.48,188.37,187.95
319.48,2022/05/13 15:05:00,217.71,200.98,199.87,200.01,194.06,193.64
319.91,2022/05/13 15:05:00,224.47,207.43,205.9,205.77,200.22,199.67
320.34,2022/05/13 15:05:00,230.56,213.25,211.45,211.58,205.77,205.77
320.76,2022/05/13 15:05:00,237.41,219.28,217.89,218.03,211.53,211.8
321.19,2022/05/13 15:05:00,244.31,226.17,224.65,224.24,218.42,218.42
321.61,2022/05/13 15:05:00,251.84,233.84,231.9,231.62,225.81,225.81
322.04,2022/05/13 15:05:00,259.57,241.46,239.39,239.81,232.9,233.17
322.47,2022/05/13 15:05:00,268.14,249.91,247.56,247.84,241.21,241.35
322.89,2022/05/13 15:05:00,276.8,258.34,256.13,256.68,249.38,249.38
323.32,2022/05/13 15:05:00,285.93,267.22,265.15,265.15,258.41,258.14
323.75,2022/05/13 15:05:00,295.7,276.74,274.27,274.54,267.4,266.85
324.17,2022/05/13 15:05:00,305.7,285.82,283.62,283.76,275.94,275.53
324.60,2022/05/13 15:05:00,314.86,294.89,292.7,292.29,284.36,284.5
325.02,2022/05/13 15:05:00,324.73,304.54,301.81,301.54,293.49,293.35
325.45,2022/05/13 15:05:00,334.78,313.81,311.49,310.95,302.64,302.23
325.88,2022/05/13 15:05:00,345.31,324.34,321.61,321.07,312.35,312.08
326.30,2022/05/13 15:05:00,355.42,333.94,331.36,331.09,321.57,321.44
326.73,2022/05/13 15:05:00,365.53,344.18,341.33,341.06,331.27,330.73
327.15,2022/05/13 15:05:00,375.14,353.67,350.28,350.0,340.63,339.54
327.58,2022/05/13 15:05:00,383.55,361.71,358.19,358.05,348.01,346.79
328.01,2022/05/13 15:05:00,390.36,367.9,364.52,364.38,354.51,352.61
328.43,2022/05/13 15:05:00,396.4,373.97,370.45,369.51,359.91,358.7
328.86,2022/05/13 15:05:00,401.12,378.73,374.28,374.01,364.03,362.41
329.28,2022/05/13 15:05:00,405.11,382.88,377.77,377.36,368.07,366.45
329.71,2022/05/13 15:05:00,409.01,386.66,381.4,381.0,371.57,370.09
330.14,2022/05/13 15:05:00,411.57,389.51,383.99,383.59,374.17,372.96
330.56,2022/05/13 15:05:00,413.58,391.68,386.18,385.77,376.24,375.57
330.99,2022/05/13 15:05:00,415.32,393.33,387.7,387.7,378.18,377.24
331.41,2022/05/13 15:05:00,416.63,394.55,389.33,388.93,379.7,378.76
331.84,2022/05/13 15:05:00,417.71,395.54,390.6,389.8,381.12,379.92
332.27,2022/05/13 15:05:00,417.73,395.76,390.7,390.17,381.11,379.52
332.69,2022/05/13 15:05:00,416.92,395.27,390.36,389.56,381.46,379.47
333.12,2022/05/13 15:05:00,415.29,393.73,388.83,388.17,380.11,378.39
333.54,2022/05/13 15:05:00,414.01,392.39,387.65,386.46,378.42,376.97
333.97,2022/05/13 15:05:00,412.57,391.14,386.81,385.49,377.48,376.42
334.40,2022/05/13 15:05:00,411.97,390.62,386.17,384.73,377.01,376.09
334.82,2022/05/13 15:05:00,411.58,390.18,385.88,384.7,376.75,375.7
335.25,2022/05/13 15:05:00,412.24,390.67,387.04,385.09,377.29,376.38
335.67,2022/05/13 15:05:00,413.29,391.82,388.33,386.13,378.5,377.07
336.10,2022/05/13 15:05:00,414.69,392.68,390.23,387.27,380.06,378.64
336.52,2022/05/13 15:05:00,417.03,394.61,392.43,388.71,381.92,380.13
336.95,2022/05/13 15:05:00,419.16,396.36,394.32,390.63,383.88,381.71
337.38,2022/05/13 15:05:00,421.55,398.61,396.2,393.03,386.19,384.03
337.80,2022/05/13 15:05:00,424.06,401.47,398.69,395.28,389.1,386.57
338.23,2022/05/13 15:05:00,426.0,403.29,400.53,397.27,391.0,388.87
338.65,2022/05/13 15:05:00,427.93,404.77,402.65,398.79,392.81,390.69
339.08,2022/05/13 15:05:00,430.16,406.65,404.43,400.47,394.28,392.43
339.50,2022/05/13 15:05:00,433.09,409.57,407.48,403.04,396.76,394.92
339.93,2022/05/13 15:05:00,435.54,412.13,410.3,405.88,399.63,397.67
340.35,2022/05/13 15:05:00,438.07,414.68,412.49,407.98,401.64,399.32
340.78,2022/05/13 15:05:00,439.41,416.03,413.97,409.97,402.71,400.16
341.21,2022/05/13 15:05:00,440.1,416.97,415.17,410.83,403.84,400.95
341.63,2022/05/13 15:05:00,440.22,417.57,415.53,411.46,404.63,401.75
342.06,2022/05/13 15:05:00,440.12,417.13,415.34,411.89,404.15,401.65
342.48,2022/05/13 15:05:00,439.85,417.12,414.75,411.91,403.74,401.02
342.91,2022/05/13 15:05:00,439.36,416.42,414.07,411.48,402.89,400.54
343.33,2022/05/13 15:05:00,439.42,416.71,414.37,411.56,403.13,401.02
343.76,2022/05/13 15:05:00,439.64,417.16,415.06,411.68,403.29,401.07
344.18,2022/05/13 15:05:00,439.89,417.17,415.43,412.3,403.37,401.63
344.61,2022/05/13 15:05:00,440.07,417.82,415.98,412.64,403.19,401.46
345.03,2022/05/13 15:05:00,440.68,418.67,416.38,412.94,403.54,402.17
345.46,2022/05/13 15:05:00,442.24,419.3,417.71,414.51,404.47,403.45
345.88,2022/05/13 15:05:00,443.86,420.81,419.33,416.04,406.61,405.02
346.31,2022/05/13 15:05:00,445.96,422.69,421.22,418.28,408.68,406.99
346.73,2022/05/13 15:05:00,448.53,424.49,423.48,420.78,410.89,409.1
347.16,2022/05/13 15:05:00,451.96,427.59,426.58,423.34,414.17,412.49
347.59,2022/05/13 15:05:00,456.04,431.35,430.34,427.01,417.55,416.44
348.01,2022/05/13 15:05:00,460.09,435.2,434.2,430.66,420.92,420.26
348.44,2022/05/13 15:05:00,464.23,439.23,438.13,434.5,425.03,424.59
348.86,2022/05/13 15:05:00,468.06,442.64,441.87,438.37,428.07,427.96
349.29,2022/05/13 15:05:00,471.67,446.25,445.59,442.21,431.74,431.74
349.71,2022/05/13 15:05:00,475.81,450.06,449.73,446.14,435.17,435.49
